Matrix Size,Custom Determinant Time (s),NumPy Determinant Time (s),Determinant Error,Custom Linear Time (s),NumPy Linear Time (s),Linear Solution L2 Error,Custom Eigen Time (s),NumPy Eigen Time (s),Eigenvalue Error,Eigenvector L2 Error,Custom Dominant Eigenvalue,NumPy Dominant Eigenvalue,RHS
21,0.00015600002370774746,2.2500025806948543e-05,655360.0,0.00027230000705458224,2.370000584051013e-05,1.7178850012568938e-13,0.0016611999890301377,0.00014750001719221473,2.842170943040401e-14,6.175225736672893e-16,88.46035609789524,88.46035609789527,"[3, 2, 3, 6, 5, 1, 9, 9, 4, 1, 0, 1, 3, 7, 2, 1, 5, 1, 0, 7, 0]"
22,0.0002482999989297241,5.660002352669835e-05,2686976.0,0.0003293000045232475,3.7699996028095484e-05,2.58711838971274e-13,0.004637199977878481,0.0001832999987527728,8.526512829121202e-14,7.178989156685113e-16,99.65960608735489,99.65960608735497,"[5, 4, 5, 4, 4, 4, 3, 2, 8, 3, 0, 9, 6, 5, 2, 0, 7, 4, 4, 6, 6, 6]"
23,0.0015469000209122896,4.6200002543628216e-05,41025536.0,0.0003829000052064657,3.670001751743257e-05,4.099287480420778e-13,0.0020650000078603625,0.0001900999923236668,4.263256414560601e-14,4.3177542613803813e-16,104.57276425298079,104.57276425298075,"[8, 6, 1, 5, 3, 3, 5, 5, 5, 4, 3, 9, 8, 7, 8, 0, 1, 5, 7, 3, 9, 9, 3]"
24,0.00023320000036619604,3.199998172931373e-05,16911433728.0,0.00040970000554807484,3.5500008380040526e-05,4.2408903424242075e-14,0.0023037999926600605,0.00018549998640082777,2.2737367544323206e-13,4.1354876261643746e-16,112.0210482085105,112.02104820851073,"[5, 2, 1, 1, 1, 7, 9, 0, 8, 0, 7, 5, 9, 5, 7, 9, 4, 7, 2, 8, 4, 6, 3, 9]"
25,0.00026489997981116176,4.780001472681761e-05,9797894144.0,0.00044440000783652067,3.950000973418355e-05,5.948683050081946e-13,0.0062111000006552786,0.0002175999979954213,9.947598300641403e-14,6.261943282059023e-16,114.76051693947174,114.76051693947164,"[9, 8, 3, 3, 1, 4, 6, 5, 9, 1, 1, 6, 6, 5, 5, 3, 5, 5, 9, 0, 4, 2, 5, 9, 7]"
26,0.00031809997744858265,4.469999112188816e-05,72808285601792.0,0.0005065999866928905,3.460000152699649e-05,3.879737383363955e-12,0.0026083000120706856,0.00023269999655894935,1.4210854715202004e-14,9.538392452234968e-16,119.24508892939183,119.24508892939181,"[7, 8, 4, 6, 9, 9, 7, 3, 3, 5, 4, 9, 4, 6, 5, 1, 9, 0, 9, 8, 6, 2, 4, 0, 5, 8]"
27,0.0003139000036753714,2.750000567175448e-05,7189775253504.0,0.0005403000104706734,2.7000001864507794e-05,4.8344122967790356e-11,0.0027123999898321927,0.0001886000100057572,1.4210854715202004e-14,5.647424180903416e-16,119.48376693663725,119.48376693663727,"[4, 9, 2, 4, 2, 4, 3, 7, 5, 4, 0, 2, 5, 4, 7, 2, 9, 2, 8, 4, 2, 2, 2, 2, 3, 1, 0]"
28,0.0005260000179987401,4.539999645203352e-05,807041534787584.0,0.0005929000035393983,3.7200021324679255e-05,4.3581814630442095e-14,0.002800499991280958,0.000225499999942258,8.526512829121202e-14,4.972820174300706e-16,126.45007387016418,126.45007387016426,"[0, 6, 9, 6, 9, 4, 2, 1, 5, 2, 9, 1, 0, 8, 6, 7, 7, 1, 3, 3, 3, 4, 4, 7, 6, 2, 6, 3]"
29,0.00038380001205950975,3.399999695830047e-05,4450823069237248.0,0.0006370999908540398,4.73999825771898e-05,1.1705376312530007e-13,0.002838899992639199,0.00022190000163391232,8.526512829121202e-14,6.365655192508265e-16,132.43079438958145,132.43079438958154,"[9, 8, 4, 0, 2, 8, 9, 1, 4, 1, 6, 1, 2, 8, 4, 6, 3, 9, 8, 5, 5, 4, 7, 4, 3, 5, 5, 3, 7]"
30,0.00041870001587085426,5.050000618211925e-05,2181431069507584.0,0.0006822999857831746,4.0399987483397126e-05,2.786530368756638e-13,0.007127099990611896,0.0002567000046838075,8.526512829121202e-14,6.9831616186284e-16,132.92599036514233,132.92599036514224,"[6, 7, 4, 9, 1, 6, 0, 1, 6, 9, 2, 3, 6, 4, 5, 8, 7, 5, 0, 6, 6, 3, 3, 7, 0, 5, 0, 2, 4, 9]"
31,0.00048329998389817774,4.600000102072954e-05,1.5312238733059686e+17,0.0007624000136274844,3.809999907389283e-05,7.165851604302467e-14,0.003285099985077977,0.0003136000013910234,2.842170943040401e-14,7.686841399027327e-16,136.2303704930529,136.23037049305293,"[2, 4, 0, 4, 2, 2, 6, 9, 3, 1, 2, 1, 6, 3, 7, 6, 1, 8, 2, 0, 9, 1, 6, 6, 0, 1, 0, 0, 2, 3, 1]"
32,0.000528500007931143,5.85000088904053e-05,2.3634890844440363e+19,0.007463499990990385,4.329998046159744e-05,1.990844250972519e-13,0.005465800000820309,0.0004332000098656863,5.684341886080802e-14,6.587199833544176e-16,138.38535325202574,138.38535325202568,"[4, 3, 1, 8, 1, 4, 3, 9, 6, 6, 6, 1, 3, 4, 7, 3, 2, 3, 5, 4, 9, 4, 0, 1, 2, 8, 9, 7, 4, 3, 2, 5]"
33,0.00252459998591803,5.329999839887023e-05,1.1102634089363936e+21,0.002655899996170774,4.4500018702819943e-05,4.987421403049711e-13,0.005557199998293072,0.0004497000190895051,2.842170943040401e-14,7.977012308035777e-16,149.13087490750402,149.130874907504,"[2, 7, 5, 1, 5, 6, 2, 7, 7, 9, 6, 3, 0, 4, 4, 8, 3, 6, 0, 8, 5, 4, 5, 6, 6, 7, 6, 6, 4, 0, 4, 7, 3]"
34,0.0007072000007610768,7.579999510198832e-05,8.282588089095589e+22,0.0012051000085193664,4.350001108832657e-05,1.477458301116238e-11,0.007743399997707456,0.000318799982778728,2.842170943040401e-14,4.449557262054371e-16,155.33101517255733,155.33101517255736,"[4, 1, 3, 1, 2, 8, 4, 0, 3, 3, 3, 9, 9, 7, 7, 1, 8, 0, 5, 1, 3, 7, 1, 7, 1, 7, 3, 1, 8, 9, 3, 9, 7, 4]"
35,0.0007294999959412962,4.4199987314641476e-05,1.9479761741837287e+22,0.0012741999817080796,3.6999990697950125e-05,2.6714105559329257e-13,0.00469080000766553,0.003921499999705702,1.1368683772161603e-13,5.633766544994711e-16,158.9500719020549,158.9500719020548,"[1, 3, 9, 8, 4, 8, 2, 2, 8, 5, 0, 1, 1, 6, 8, 8, 0, 9, 2, 5, 5, 0, 2, 1, 3, 0, 6, 0, 9, 0, 6, 9, 1, 3, 0]"
36,0.0007295999967027456,7.850001566112041e-05,1.8558900277677706e+24,0.0012314000050537288,5.059997783973813e-05,9.895961247600037e-13,0.004805999982636422,0.00034779999987222254,1.1368683772161603e-13,5.965834842859474e-16,162.1624521295744,162.16245212957452,"[0, 6, 7, 9, 1, 7, 6, 6, 5, 1, 2, 2, 1, 5, 0, 0, 1, 4, 1, 8, 8, 4, 2, 1, 6, 3, 0, 9, 0, 0, 1, 5, 9, 4, 4, 6]"
37,0.0007591000176034868,5.889998283237219e-05,2.2667359117774297e+23,0.003512299997964874,4.119999357499182e-05,3.8378250352962197e-13,0.004907700000330806,0.0003391000209376216,8.526512829121202e-14,6.125121657294927e-16,162.1119827616095,162.1119827616096,"[4, 4, 2, 1, 8, 2, 9, 9, 8, 7, 4, 7, 8, 1, 2, 2, 4, 8, 9, 0, 5, 6, 7, 0, 8, 6, 7, 0, 0, 9, 0, 0, 4, 3, 6, 5, 5]"
